wave,order,item_id,title,owner_on_camera,owner_control,телесуфлер_ready,shooting_ready,screen_assets_ready,status,notes
1,1,s00,"Сессия 0. Диагностика и первая практическая победа",Arseniy,You,yes,yes,yes,ready_to_record,"Use 4_пакет_демо_кейсов_для_записи.md + visual_assets/first_wave/README.md"
1,2,l01,"Урок 1. AI в работе: инструмент, а не магия",Arseniy,You,yes,yes,yes,ready_to_record,"Use 4_пакет_демо_кейсов_для_записи.md + visual_assets/first_wave/README.md"
1,3,l02,"Урок 2. Где AI помогает быстрее всего",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_2_4_конкретные_материалы_базового_модуля.md + visual_assets/wave_1b_2_4/README.md"
1,4,l03,"Урок 3. Где AI слаб или опасен",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_2_4_конкретные_материалы_базового_модуля.md + visual_assets/wave_1b_2_4/README.md"
1,5,l04,"Урок 4. Как выбрать первые сценарии для AI",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_2_4_конкретные_материалы_базового_модуля.md + visual_assets/wave_1b_2_4/README.md"
1,6,l05,"Урок 5. Почему слабый запрос дает слабый результат",Arseniy,You,yes,yes,yes,ready_to_record,"Use 4_пакет_демо_кейсов_для_записи.md + visual_assets/first_wave/README.md"
2,7,l06,"Урок 6. Формула хорошего запроса",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_6_10_конкретные_материалы_базового_модуля.md + visual_assets/wave_2_6_10/README.md"
2,8,l07,"Урок 7. Роль, аудитория и уместность",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_6_10_конкретные_материалы_базового_модуля.md + visual_assets/wave_2_6_10/README.md"
2,9,l08,"Урок 8. Как разбивать сложную задачу на шаги",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_6_10_конкретные_материалы_базового_модуля.md + visual_assets/wave_2_6_10/README.md"
2,10,l09,"Урок 9. Почему не существует волшебного промпта",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_6_10_конкретные_материалы_базового_модуля.md + visual_assets/wave_2_6_10/README.md"
2,11,l10,"Урок 10. Как собирать свои рабочие шаблоны",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_6_10_конкретные_материалы_базового_модуля.md + visual_assets/wave_2_6_10/README.md"
2,12,l11,"Урок 11. Почему AI выглядит уверенным даже когда ошибается",Arseniy,You,yes,yes,yes,ready_to_record,"Use 4_пакет_демо_кейсов_для_записи.md + visual_assets/wave_2b_11_15/README.md"
3,13,l12,"Урок 12. Чек-лист проверки качества",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_12_15_конкретные_материалы_базового_модуля.md + visual_assets/wave_2b_11_15/README.md"
3,14,l13,"Урок 13. Когда нельзя копировать ответ как есть",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_12_15_конкретные_материалы_базового_модуля.md + visual_assets/wave_2b_11_15/README.md"
3,15,l14,"Урок 14. Как превращать сырой AI-черновик в рабочий результат",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_12_15_конкретные_материалы_базового_модуля.md + visual_assets/wave_2b_11_15/README.md"
3,16,l15,"Урок 15. Минимальная цифровая гигиена и безопасность",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_12_15_конкретные_материалы_базового_модуля.md + visual_assets/wave_2b_11_15/README.md"
3,17,l16,"Урок 16. Деловая переписка и сообщения",Arseniy,You,yes,yes,yes,ready_to_record,"Use 4_пакет_демо_кейсов_для_записи.md + visual_assets/first_wave/README.md"
3,18,l17,"Урок 17. Резюме документов и выделение сути",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_17_20_конкретные_материалы_базового_модуля.md + visual_assets/wave_3_17_24/README.md"
4,19,l18,"Урок 18. Подготовка к встречам и созвонам",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_17_20_конкретные_материалы_базового_модуля.md + visual_assets/wave_3_17_24/README.md"
4,20,l19,"Урок 19. Идеи, структура и черновики",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_17_20_конкретные_материалы_базового_модуля.md + visual_assets/wave_3_17_24/README.md"
4,21,l20,"Урок 20. Первичное исследование темы",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_17_20_конкретные_материалы_базового_модуля.md + visual_assets/wave_3_17_24/README.md"
4,22,l21,"Урок 21. AI как инструмент самообучения",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_21_24_конкретные_материалы_базового_модуля.md + visual_assets/wave_3_17_24/README.md"
4,23,l22,"Урок 22. Как не превратить AI в лишнюю игрушку",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_21_24_конкретные_материалы_базового_модуля.md + visual_assets/wave_3_17_24/README.md"
4,24,l23,"Урок 23. Как строить личную систему использования AI",Arseniy,You,yes,yes,yes,ready_to_record,"Use уроки_21_24_конкретные_материалы_базового_модуля.md + visual_assets/wave_3_17_24/README.md"
4,25,l24,"Урок 24. План внедрения на 14 дней",Arseniy,You,yes,yes,yes,ready_to_record,"Use 4_пакет_демо_кейсов_для_записи.md + visual_assets/first_wave/README.md"
