order,module,item_id,item_type,title,duration_min,mvp_required,release_phase,unlock_rule,completion_rule,required_submission,primary_downloadable_id,proof_artifact,card_copy_status,notes
0,0,diag_in,diagnostic,"Входная самодиагностика",8,yes,phase_0_onboarding,open_on_enrollment,submit_form,diag_in_form,form-diag-in,intake_baseline,ready,"Required before baseline and before Module 1 unlock"
1,0,baseline,task,"Baseline Compare: первая рабочая задача",15,yes,phase_0_onboarding,after_diag_in,submit_form,baseline_compare_form,dl-s00-baseline-compare,baseline_compare,ready,"Participant compares baseline and guided AI draft"
2,0,s00,session,"Сессия 0. Диагностика и первая практическая победа",35,yes,phase_0_onboarding,open_on_enrollment,watch_and_submit_first_win,first_win_note,dl-l01-first-win-card,first_win,ready,"Module 1 unlocks only after s00 and baseline are complete"
3,1,l01,lesson,"Урок 1. AI в работе: инструмент, а не магия",14,yes,phase_1_foundation,after_s00,watch_and_answer_2_checks,lesson_self_check,dl-l01-first-win-card,first_win,ready,"Tie lesson back to first measurable use"
4,1,l02,lesson,"Урок 2. Где AI помогает быстрее всего",14,yes,phase_1_foundation,after_l01,watch_and_answer_2_checks,lesson_self_check,none,scenario_filter,ready,"Focus on clear input and clear output tasks"
5,1,l03,lesson,"Урок 3. Где AI слаб или опасен",14,yes,phase_1_foundation,after_l02,watch_and_answer_2_checks,lesson_self_check,none,risk_awareness,ready,"Participant must distinguish green and red zones"
6,1,l04,lesson,"Урок 4. Как выбрать первые сценарии для AI",16,yes,phase_1_foundation,after_l03,watch_and_answer_2_checks,lesson_self_check,dl-hw01-task-map,scenario_shortlist,ready,"Bridge lesson directly into HW1"
7,1,l05,lesson,"Урок 5. Почему слабый запрос дает слабый результат",15,yes,phase_1_foundation,after_l04,watch_and_answer_2_checks,lesson_self_check,dl-l06-prompt-formula-card,prompt_gap_awareness,ready,"Unlock HW1 after lesson completion"
8,1,hw01,homework,"Домашняя работа 1. Карта задач для ускорения",60,yes,phase_1_foundation,after_l05,submit_homework,task_map_table,dl-hw01-task-map,scenario_shortlist,ready,"Need 8 tasks and 3 selected start scenarios"
9,2,l06,lesson,"Урок 6. Формула хорошего запроса",15,yes,phase_2_prompting,after_hw01_accepted,watch_and_answer_2_checks,lesson_self_check,dl-l06-prompt-formula-card,prompt_formula,ready,"Participant should reuse formula on one real task"
10,2,l07,lesson,"Урок 7. Роль, аудитория и уместность",13,yes,phase_2_prompting,after_l06,watch_and_answer_2_checks,lesson_self_check,none,audience_control,ready,"Add role and audience fit to prompt design"
11,2,l08,lesson,"Урок 8. Как разбивать сложную задачу на шаги",16,yes,phase_2_prompting,after_l07,watch_and_answer_2_checks,lesson_self_check,none,workflow_breakdown,ready,"Used before template library is assembled"
12,2,l09,lesson,"Урок 9. Почему не существует волшебного промпта",12,yes,phase_2_prompting,after_l08,watch_and_answer_2_checks,lesson_self_check,none,prompt_iteration,ready,"Participant must stop searching for one universal prompt"
13,2,l10,lesson,"Урок 10. Как собирать свои рабочие шаблоны",15,yes,phase_2_prompting,after_l09,watch_and_answer_2_checks,lesson_self_check,dl-hw02-prompt-library,prompt_library_seed,ready,"Lesson directly prepares HW2"
14,2,hw02,homework,"Домашняя работа 2. Пять рабочих шаблонов запросов",75,yes,phase_2_prompting,after_l10,submit_homework,prompt_library,dl-hw02-prompt-library,prompt_library,ready,"Need at least 3 strong before-after prompt upgrades"
15,3,l11,lesson,"Урок 11. Почему AI выглядит уверенным даже когда ошибается",13,yes,phase_3_quality,after_hw02_accepted,watch_and_answer_2_checks,lesson_self_check,none,false_confidence_awareness,ready,"Sets up quality-control block"
16,3,l12,lesson,"Урок 12. Чек-лист проверки качества",16,yes,phase_3_quality,after_l11,watch_and_answer_2_checks,lesson_self_check,dl-l12-quality-checklist,quality_checklist,ready,"Checklist must be attached from the card"
17,3,l13,lesson,"Урок 13. Когда нельзя копировать ответ как есть",13,yes,phase_3_quality,after_l12,watch_and_answer_2_checks,lesson_self_check,none,human_review_boundary,ready,"Participant names at least one no-copy zone"
