item_id,title,case_ids,concrete_source,visual_source,title_asset,asset_1,asset_2,asset_3,final_asset,post_lesson_action
s00,"Сессия 0. Диагностика и первая практическая победа","FW-S00-L01-CASE-A","4_пакет_демо_кейсов_для_записи.md","visual_assets/first_wave","s00_title_card.svg","s00_diagnostic_form.svg","s00_first_win_compare.svg","","s00_final_card.svg","Заполнить baseline и сохранить первая практическая победа"
l01,"Урок 1. AI в работе: инструмент, а не магия","FW-S00-L01-CASE-A","4_пакет_демо_кейсов_для_записи.md","visual_assets/first_wave","l01_title_card.svg","l01_ai_vs_human.svg","l01_two_extremes.svg","","l01_final_card.svg","Зафиксировать 1 задачу, где AI ускоряет первый черновик"
l02,"Урок 2. Где AI помогает быстрее всего","CM-L02-TASK-MAP-A","уроки_2_4_конкретные_материалы_базового_модуля.md","visual_assets/wave_1b_2_4","l02_title_card.svg","l02_task_class_map.svg","l02_three_examples.svg","l02_start_filter.svg","l02_final_card.svg","Выбрать 3 класса задач с быстрой пользой"
l03,"Урок 3. Где AI слаб или опасен","CM-L03-CASE-A; CM-L03-RISK-LENS-A","уроки_2_4_конкретные_материалы_базового_модуля.md","visual_assets/wave_1b_2_4","l03_title_card.svg","l03_confident_wrong_case.svg","l03_risk_lens.svg","l03_zone_map.svg","l03_final_card.svg","Разметить 3 свои задачи по зонам риска"
l04,"Урок 4. Как выбрать первые сценарии для AI","CM-L04-MATRIX-A","уроки_2_4_конкретные_материалы_базового_модуля.md","visual_assets/wave_1b_2_4","l04_title_card.svg","l04_filter_matrix.svg","l04_good_vs_bad_start.svg","l04_go_no_go.svg","l04_final_card.svg","Выбрать 3-5 стартовых сценариев"
l05,"Урок 5. Почему слабый запрос дает слабый результат","FW-L05-CASE-A","4_пакет_демо_кейсов_для_записи.md","visual_assets/first_wave","l05_title_card.svg","l05_prompt_formula.svg","l05_prompt_compare.svg","","l05_final_card.svg","Переписать 1 слабый запрос по формуле урока"
l06,"Урок 6. Формула хорошего запроса","L06-CASE-A","уроки_6_10_конкретные_материалы_базового_модуля.md","visual_assets/wave_2_6_10","l06_title_card.svg","l06_formula_4_plus_2.svg","l06_weak_vs_strong_followup.svg","l06_followup_build_flow.svg","l06_final_card.svg","Собрать 1 рабочий prompt по формуле 4+2"
l07,"Урок 7. Роль, аудитория и уместность","L07-CASE-A","уроки_6_10_конкретные_материалы_базового_модуля.md","visual_assets/wave_2_6_10","l07_title_card.svg","l07_role_vs_audience.svg","l07_audience_tone_structure.svg","l07_three_versions_compare.svg","l07_final_card.svg","Сделать 2 версии одного сообщения для разных адресатов"
l08,"Урок 8. Как разбивать сложную задачу на шаги","L08-CASE-A","уроки_6_10_конкретные_материалы_базового_модуля.md","visual_assets/wave_2_6_10","l08_title_card.svg","l08_one_shot_vs_decomposition.svg","l08_decomposition_workflow.svg","l08_checkpoint_table.svg","l08_final_card.svg","Разбить 1 сложную задачу на 5 шагов"
l09,"Урок 9. Почему не существует волшебного промпта","L09-CASE-A","уроки_6_10_конкретные_материалы_базового_модуля.md","visual_assets/wave_2_6_10","l09_title_card.svg","l09_myth_vs_iterations.svg","l09_iteration_cycle.svg","l09_summary_iterations_compare.svg","l09_final_card.svg","Провести 3 итерации на одном запросе"
l10,"Урок 10. Как собирать свои рабочие шаблоны","L10-TEMPLATE-SET-A","уроки_6_10_конкретные_материалы_базового_модуля.md","visual_assets/wave_2_6_10","l10_title_card.svg","l10_template_structure.svg","l10_template_library_table.svg","l10_personal_to_team_bridge.svg","l10_final_card.svg","Добавить 1 новый шаблон в личную библиотеку"
l11,"Урок 11. Почему AI выглядит уверенным даже когда ошибается","FW-L11-CASE-A","4_пакет_демо_кейсов_для_записи.md","visual_assets/wave_2b_11_15","l11_title_card.svg","l11_false_confidence_breakdown.svg","l11_sales_summary_compare.svg","l11_check_before_send.svg","l11_final_card.svg","Проверить 1 AI-output по правилу check before send"
l12,"Урок 12. Чек-лист проверки качества","CM-L12-CASE-A","уроки_12_15_конкретные_материалы_базового_модуля.md","visual_assets/wave_2b_11_15","l12_title_card.svg","l12_quality_checklist.svg","l12_pilot_review_scorecard.svg","l12_summary_before_after.svg","l12_final_card.svg","Прогнать 1 AI-summary через checklist"
l13,"Урок 13. Когда нельзя копировать ответ как есть","CM-L13-RISK-MAP; CM-L13-CASE-A","уроки_12_15_конкретные_материалы_базового_модуля.md","visual_assets/wave_2b_11_15","l13_title_card.svg","l13_risk_map.svg","l13_zone_classifier.svg","l13_red_zone_client_promise.svg","l13_final_card.svg","Разметить 5 задач по green/yellow/red"
l14,"Урок 14. Как превращать сырой AI-черновик в рабочий результат","CM-L14-CASE-A","уроки_12_15_конкретные_материалы_базового_модуля.md","visual_assets/wave_2b_11_15","l14_title_card.svg","l14_edit_breakdown.svg","l14_edit_moves_workflow.svg","l14_status_update_before_after.svg","l14_final_card.svg","Отредактировать 1 сырой AI-черновик"
l15,"Урок 15. Минимальная цифровая гигиена и безопасность","CM-L15-CASE-A; CM-L15-RULESET-A","уроки_12_15_конкретные_материалы_базового_модуля.md","visual_assets/wave_2b_11_15","l15_title_card.svg","l15_safe_vs_unsafe_prompt.svg","l15_safety_rules_checklist.svg","l15_do_dont.svg","l15_final_card.svg","Собрать 5 личных правил безопасной работы"
l16,"Урок 16. Деловая переписка и сообщения","FW-L16-CASE-A; FW-L16-CASE-B","4_пакет_демо_кейсов_для_записи.md","visual_assets/first_wave","l16_title_card.svg","l16_four_anchors.svg","l16_message_workflow.svg","","l16_final_card.svg","Сохранить 2 шаблона деловых сообщений"
l17,"Урок 17. Резюме документов и выделение сути","FW-L17-CASE-A","уроки_17_20_конкретные_материалы_базового_модуля.md","visual_assets/wave_3_17_24","l17_title_card.svg","l17_summary_modes.svg","l17_summary_quality_gate.svg","l17_pilot_outputs.svg","l17_final_card.svg","Сделать summary + action items по 1 документу"
l18,"Урок 18. Подготовка к встречам и созвонам","FW-L18-CASE-A; FW-L18-CASE-B","уроки_17_20_конкретные_материалы_базового_модуля.md","visual_assets/wave_3_17_24","l18_title_card.svg","l18_meeting_window.svg","l18_crm_status_prep.svg","l18_follow_up_actions.svg","l18_final_card.svg","Собрать prep-note и follow-up по 1 встрече"
l19,"Урок 19. Идеи, структура и черновики","FW-L19-CASE-A","уроки_17_20_конкретные_материалы_базового_модуля.md","visual_assets/wave_3_17_24","l19_title_card.svg","l19_option_matrix.svg","l19_four_step_flow.svg","l19_memo_structure.svg","l19_final_card.svg","Собрать структуру одной рабочей записки"
l20,"Урок 20. Первичное исследование темы","FW-L20-CASE-A","уроки_17_20_конкретные_материалы_базового_модуля.md","visual_assets/wave_3_17_24","l20_title_card.svg","l20_topic_entry_map.svg","l20_rag_system_map.svg","l20_rag_validation_table.svg","l20_final_card.svg","Собрать карту темы и список проверок"
l21,"Урок 21. AI как инструмент самообучения","L21-CASE-A","уроки_21_24_конкретные_материалы_базового_модуля.md","visual_assets/wave_3_17_24","l21_title_card.svg","l21_learning_loop.svg","l21_understanding_check.svg","l21_cohort_compare.svg","l21_final_card.svg","Собрать learning loop на 1 новую тему"
l22,"Урок 22. Как не превратить AI в лишнюю игрушку","L22-CASE-A; L22-CASE-B","уроки_21_24_конкретные_материалы_базового_модуля.md","visual_assets/wave_3_17_24","l22_title_card.svg","l22_toy_vs_tool_compare.svg","l22_practical_filter_scorecard.svg","l22_followup_impact_metrics.svg","l22_final_card.svg","Прогнать 3 идеи через practical filter"
l23,"Урок 23. Как строить личную систему использования AI","L23-CASE-A; L23-BRIDGE-A","уроки_21_24_конкретные_материалы_базового_модуля.md","visual_assets/wave_3_17_24","l23_title_card.svg","l23_system_table.svg","l23_personal_system_stack.svg","l23_team_proof_path.svg","l23_final_card.svg","Собрать личную AI-систему"
l24,"Урок 24. План внедрения на 14 дней","FW-L24-CASE-A; FW-L24-CASE-B; L24-BRIDGE-A","4_пакет_демо_кейсов_для_записи.md + уроки_21_24_конкретные_материалы_базового_модуля.md","visual_assets/first_wave + visual_assets/wave_3_17_24","l24_title_card.svg","l24_14_day_rollout_plan.svg","l24_b2b_rollout_dashboard.svg","l24_final_bridge.svg","l24_final_card.svg","Собрать 14-дневный личный или командный план внедрения"
