pilot_type,stage,task,owner,output,status,notes
B2C_beta,setup,"Выбрать 10-20 warm участников",You,"short list",pending,"Use warm base first"
B2C_beta,setup,"Подготовить recruitment pack",ChatGPT,"invite copy",done,"пакет_набора_в_пилот.md"
B2C_beta,setup,"Подготовить intake form",ChatGPT,"intake fields",done,"входные_формы_пилота.md"
B2C_beta,setup,"Подтвердить MVP-контур пилота",ChatGPT,"pilot scope",done,"Core + HW 1,2,3,5 + project"
B2C_beta,setup,"Подготовить LMS test contour 0-5",You,"test contour",pending,"Use manifest"
B2C_beta,setup,"Подготовить participant pack",ChatGPT,"бриф участника",done,"бриф_участника_пилота.md"
B2C_beta,delivery,"Подготовить facilitator script",ChatGPT,"operating script",done,"сценарий_фасилитатора_пилота.md"
B2C_beta,delivery,"Записать sprint 0,1,5,11,16,24",Arseniy,"pilot video set",pending,"First production sprint"
B2C_beta,delivery,"Сделать черновой монтаж",Assistant,"черновой монтаж",pending,"Before scale recording"
B2C_beta,delivery,"Собрать first wave in LMS",You,"live beta contour",pending,"0-5 first"
B2C_beta,measurement,"Собрать activation metrics",ChatGPT,"activation summary",pending,"After week 1"
B2C_beta,measurement,"Собрать homework and project artifacts",ChatGPT,"пакет артефактов результата",pending,"Need exported examples"
B2C_beta,close,"Собрать B2C pilot report",ChatGPT,"pilot report",pending,"Use template"
B2B_mini,setup,"Найти 1 warm company intro",You,"target company",pending,"Prefer SMB or function lead"
B2B_mini,setup,"Выбрать owner со стороны компании",You,"company owner",pending,"Manager or HR/L&D"
B2B_mini,setup,"Подготовить recruitment pack",ChatGPT,"warm intro copy",done,"пакет_набора_в_пилот.md"
B2B_mini,setup,"Подготовить intake fields",ChatGPT,"discovery form",done,"входные_формы_пилота.md"
B2B_mini,setup,"Собрать pilot scope",ChatGPT,"pilot scope",done,"Core + diagnostics + manager touchpoint"
B2B_mini,setup,"Подготовить company proof path",ChatGPT,"proof path",done,"Shared scenario/template/checklist"
B2B_mini,setup,"Подготовить бриф владельца",ChatGPT,"company бриф владельца",done,"бриф_владельца_пилота_в_компании.md"
B2B_mini,setup,"Подготовить одностраничник templates",ChatGPT,"owner pack",done,"шаблоны_b2b_мини_пилота.md"
B2B_mini,delivery,"Запустить пилот на 8-20 участников",You,"pilot cohort",pending,"One team or mixed group"
B2B_mini,measurement,"Собрать team артефакт результатаs",ChatGPT,"team пакет артефактов результата",pending,"Need shared outputs"
B2B_mini,measurement,"Собрать manager feedback",You,"manager notes",pending,"Short interview"
B2B_mini,close,"Собрать B2B pilot report",ChatGPT,"client report",pending,"Use template"
